Reference Number,Number of Vehicles,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
0,2181280,2,1905,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,38,Motorcycle over 500cc
1,2191037,2,1615,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,50,Car
2,2CQ0870,2,1645,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,26,Car
3,2CQ0870,2,1645,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,22,Car
4,3111091,2,956,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,57,Pedal cycle
5,3111178,2,1115,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,59,Pedal cycle
6,3111395,1,1352,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Female,53,Car
7,3111981,2,2015,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Female,22,Car
8,3120560,2,1110,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,20,Car
9,3120872,1,1638,A(M),Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,22,Car
10,3120872,1,1638,A(M),Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Female,26,Car
11,3130442,5,1150,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,35,Car
12,3130442,5,1150,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Slight,Female,21,Car
13,3130442,5,1150,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Slight,Male,28,Car
14,3130444,2,1154,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,53,Motorcycle over 500cc
15,3130532,1,1252,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,18,Taxi/Private hire car
16,3130769,1,1543,A(M),Wet / Damp,Darkness: no street lighting,Raining without high winds,Driver or rider,Slight,Female,47,Car
17,3130786,2,1555,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Female,30,Car
18,3130786,2,1555,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Male,8,Car
19,3130805,2,1615,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,39,Car
20,3130805,2,1615,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Female,39,Car
21,3130885,1,1650,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,42,Car
22,3140260,2,1730,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,26,Pedal cycle
23,3140730,1,1413,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,58,Motorcycle over 50cc and up to 125cc
24,3141054,2,1700,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Female,29,Car
25,3141054,2,1700,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,33,Taxi/Private hire car
26,3151110,2,1752,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,43,Pedal cycle
27,3151301,1,1930,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,60,Car
28,3160260,2,815,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,52,Motorcycle over 500cc
29,3160311,1,800,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,33,Car
30,3160793,2,1410,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,25,Pedal cycle
31,3161000,1,1520,Unclassified,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Pedestrian,Slight,Female,49,Car
32,3161098,2,1723,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,39,Pedal cycle
33,3161298,2,1355,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,27,Car
34,3161298,2,1355,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,55,Car
35,3161323,2,1919,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,72,Car
36,3161328,2,1915,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,36,Car
37,3161328,2,1915,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Male,38,Car
38,3170622,2,1300,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,2,Car
39,3170622,2,1300,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,28,Car
40,3170694,1,1350,Motorway,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver or rider,Slight,Male,43,Goods vehicle 7.5 tonnes mgw and over
41,3170743,2,1435,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,44,Car
42,3170766,1,1220,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Slight,Female,81,Bus or coach (17 or more passenger seats)
43,3170948,3,1607,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,45,Car
44,3170948,3,1607,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,21,Car
45,3171039,2,1643,A,Dry,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Female,34,Car
46,3171039,2,1643,A,Dry,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Female,37,Car
47,3171722,1,2345,Unclassified,Wet / Damp,Darkness: no street lighting,Raining without high winds,Driver or rider,Slight,Male,26,Car
48,3180831,1,1435,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Fatal,Male,78,Goods vehicle 7.5 tonnes mgw and over
49,3181079,2,1706,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,56,Motorcycle over 125cc and up to 500cc
50,3181260,1,1835,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,11,Car
51,3181333,2,1936,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,18,Car
52,3181333,2,1936,A,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,26,Car
53,3181333,2,1936,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,42,Car
54,3190305,2,505,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fog or mist � if hazard,Driver or rider,Serious,Male,45,Pedal cycle
55,3190541,2,1144,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,25,Motorcycle over 50cc and up to 125cc
56,3190903,3,1512,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,54,Car
57,3190903,3,1512,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,55,Car
58,3190903,3,1512,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,31,Car
59,3191196,4,1230,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,40,Car
60,3191196,4,1230,A,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,15,Car
61,3191196,4,1230,A,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,30,Car
62,3191206,2,1810,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,23,Car
63,3191206,2,1810,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Female,29,Car
64,3191223,1,1755,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Serious,Female,60,Car
65,3191315,1,1930,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,47,Car
66,3191376,1,2013,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,63,Car
67,31A0692,4,1330,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver or rider,Slight,Female,29,Car
68,31A0692,4,1330,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Vehicle or pillion passenger,Slight,Male,6,Car
